utime Server CPU Memory Users
1447719060 kor-bc-ce-01 9 58 174
1447719060 kor-bc-ce-02 1 45 52
1447719060 nyc-bc-ce-05 1 15 1
1447719060 nyc-bc-ce-06 0 30 1
1447719060 nyc-bc-drp-01 0 20 0
1447719060 nyc-bc-drp-02 0 20 0
1447719060 nyc-bc-rp-01 0 24 0
1447719060 nyc-bc-rp-02 0 16 0
1447719060 nyc-bc-sg-01 11 21 1873
1447719060 nyc-bc-sg-02 19 22 1830
1447719060 nyc-bc-sg-03 12 22 1630
1447719060 syd-bc-ce-01 16 66 474
1447719060 syd-bc-ce-02 1 50 77
1447719120 chn-bc-ce-01 0 41 1
1447719120 chn-bc-ce-02 1 40 1
1447719120 chn-bc-ce-03 0 31 90
1447719120 chn-bc-sg-01 4 23 632
1447719120 chn-bc-sg-02 7 22 655
1447719120 lon-bc-sg-01 9 21 1790
1447719120 lon-bc-sg-02 7 20 1563
1447719120 tok-bc-ce-01 1 36 328
1447719120 tok-bc-ce-02 2 26 238
1447719120 tok-bc-sg-01 30 25 2162
1447719120 snd-bc-sg-01 6 24 368
1447719120 snd-bc-sg-02 7 23 330
1447719120 bos-bc-ce-03 1 17 0
1447719120 bos-bc-ce-04 1 24 0
1447719120 bos-bc-drp-01 28 56 11864
1447719120 bos-bc-drp-02 24 56 11861
1447719120 bos-bc-rp-01 4 16 55
1447719120 bos-bc-sg-01 15 23 1647
1447719120 bos-bc-sg-02 15 20 1567
1447719120 bos-bc-sg-03 10 20 1387
1447719120 sng-bc-ce-01 1 25 235
1447719120 sng-bc-ce-02 1 26 85
1447719120 sng-bc-sg-01 2 19 231
1447719120 sng-bc-sg-02 10 24 1855
1447719120 kor-bc-ce-01 9 58 176
1447719120 kor-bc-ce-02 1 45 55
1447719120 nyc-bc-ce-05 1 15 2
1447719120 nyc-bc-ce-06 0 30 0
1447719120 nyc-bc-drp-01 0 20 0
1447719120 nyc-bc-drp-02 0 20 0
1447719120 nyc-bc-rp-01 0 24 0
1447719120 nyc-bc-rp-02 0 16 0
1447719120 nyc-bc-sg-01 12 21 1859
1447719120 nyc-bc-sg-02 19 22 1788
1447719120 nyc-bc-sg-03 12 22 1648
1447719120 syd-bc-ce-01 19 66 480
1447719120 syd-bc-ce-02 2 51 67
1447719180 chn-bc-ce-01 0 41 1
1447719180 chn-bc-ce-02 0 40 1
1447719180 chn-bc-ce-03 0 31 85
1447719180 chn-bc-sg-01 4 23 629
1447719180 chn-bc-sg-02 9 22 647
1447719180 lon-bc-sg-01 11 21 1807
1447719180 lon-bc-sg-02 8 20 1595
1447719180 tok-bc-ce-01 1 36 334
1447719180 tok-bc-ce-02 2 26 245
1447719180 tok-bc-sg-01 29 25 2191
1447719180 snd-bc-sg-01 6 24 358
1447719180 snd-bc-sg-02 8 23 330
1447719180 bos-bc-ce-03 1 17 0
1447719180 bos-bc-ce-04 1 24 0
1447719180 bos-bc-drp-01 23 56 11761
1447719180 bos-bc-drp-02 24 56 11747
1447719180 bos-bc-rp-01 4 16 57
1447719180 bos-bc-sg-01 15 23 1615
1447719180 bos-bc-sg-02 14 20 1571
1447719180 bos-bc-sg-03 11 20 1391
1447719180 sng-bc-ce-01 1 25 242
1447719180 sng-bc-ce-02 1 26 101
1447719180 sng-bc-sg-01 2 19 227
1447719180 sng-bc-sg-02 12 24 1873
1447719180 kor-bc-ce-01 10 58 191
